Opt,Var,Val
SQ,Cod1_FH_bag,1
SQ,Cod1_FH_size,22
SQ,Cod1_FH_Season,2023-09-01 - 2023-10-31
SQ,Cod1_PR_bag,1
SQ,Cod1_PR_size,22
SQ,Cod1_PR_Season,2023-09-01 - 2023-10-31
SQ,Had1_FH_bag,15
SQ,Had1_FH_size,18
SQ,Had1_FH_Season,2023-05-01 - 2024-02-28
SQ,Had1_PR_bag,10
SQ,Had1_PR_size,17
SQ,Had1_PR_Season,2023-05-01 - 2024-02-28
SQ,Had2_FH_bag,15
SQ,Had2_FH_size,18
SQ,Had2_FH_Season,2024-04-01 - 2024-04-30
SQ,Had2_PR_bag,10
SQ,Had2_PR_size,17
SQ,Had2_PR_Season,2024-04-01 - 2024-04-30
SQ,Cod2_FH_bag,0
SQ,Cod2_FH_size,100
SQ,Cod2_FH_Season,2024-04-30 - 2024-04-30
SQ,Cod2_PR_bag,0
SQ,Cod2_PR_size,100
SQ,Cod2_PR_Season,2024-04-30 - 2024-04-30
SQ,Had3_FH_bag,0
SQ,Had3_FH_size,100
SQ,Had3_FH_Season,2024-04-30 - 2024-04-30
SQ,Had3_PR_bag,0
SQ,Had3_PR_size,100
SQ,Had3_PR_Season,2024-04-30 - 2024-04-30
